Districts,Year,Season,Crops,Yield,Soil_Mois,Soil_Temp
Krishnagiri,2019,Rabi,Groundnut,3310,27.8,25.4
Krishnagiri,2019,Kharif,Groundnut,3330,26,25.2
Krishnagiri,2019,Rabi,Maize,6700,27.8,25.4
Krishnagiri,2019,Kharif,Maize,8320,26,25.2
Krishnagiri,2019,Rabi,Onion,6630,27.8,25.4
Krishnagiri,2019,Kharif,Onion,9000,26,25.2
Krishnagiri,2019,Rabi,Urad,780,27.8,25.4
Krishnagiri,2019,Kharif,Urad,840,26,25.2
Krishnagiri,2019,Rabi,Cotton,2480,27.8,25.4
Krishnagiri,2019,Kharif,Cotton,3140,26.6,25.2
Krishnagiri,2020,Rabi,Groundnut,3530,30.2,24.77
Krishnagiri,2020,Kharif,Groundnut,3530,26.6,24.19
Krishnagiri,2020,Rabi,Maize,5270,30.2,24.77
Krishnagiri,2020,Kharif,Maize,6250,26.6,24.19
Krishnagiri,2020,Rabi,Onion,5550,30.2,24.77
Krishnagiri,2020,Kharif,Onion,9880,26.6,24.19
Krishnagiri,2020,Rabi,Urad,520,30.2,24.77
Krishnagiri,2020,Kharif,Urad,890,26.6,24.19
Krishnagiri,2020,Rabi,Cotton,2420,30.2,24.77
Krishnagiri,2020,Kharif,Cotton,3330,28.4,24.19
Krishnagiri,2021,Rabi,Groundnut,3530,28.6,23.78
Krishnagiri,2021,Kharif,Groundnut,2690,28.4,24.72
Krishnagiri,2021,Rabi,Maize,6070,28.6,23.78
Krishnagiri,2021,Kharif,Maize,6520,28.4,24.72
Krishnagiri,2021,Rabi,Onion,6000,28.6,23.78
Krishnagiri,2021,Kharif,Onion,9070,28.4,24.72
Krishnagiri,2021,Rabi,Urad,630,28.6,23.78
Krishnagiri,2021,Kharif,Urad,880,28.4,24.72
Krishnagiri,2021,Rabi,Cotton,2380,28.6,23.78
Krishnagiri,2021,Kharif,Cotton,690,28.88,24.72
Krishnagiri,2022,Rabi,Groundnut,3380,33,23.7
Krishnagiri,2022,Kharif,Groundnut,2760,28.88,24.06
Krishnagiri,2022,Rabi,Maize,8240,33,23.7
Krishnagiri,2022,Kharif,Maize,3380,28.88,24.06
Krishnagiri,2022,Rabi,Onion,7640,33,23.7
Krishnagiri,2022,Kharif,Onion,9520,28.88,24.06
Krishnagiri,2022,Rabi,Urad,660,33,23.7
Krishnagiri,2022,Kharif,Urad,860,28.88,24.06
Krishnagiri,2022,Rabi,Cotton,1780,33,23.7
Krishnagiri,2022,Kharif,Cotton,1370,23.48,24.06
Madurai,2018,Rabi,Groundnut,2690,23,26.72
Madurai,2018,Kharif,Groundnut,2170,23.48,28.7
Madurai,2018,Rabi,Maize,5070,23,26.72
Madurai,2018,Kharif,Maize,6340,23.48,28.7
Madurai,2018,Rabi,Onion,5710,23,26.72
Madurai,2018,Kharif,Onion,8770,23.48,28.7
Madurai,2018,Rabi,Urad,600,23,26.72
Madurai,2018,Kharif,Urad,760,23.48,28.7
Madurai,2018,Rabi,Cotton,2220,23,26.72
Madurai,2018,Kharif,Cotton,1630,26.08,28.7
Madurai,2019,Rabi,Groundnut,3740,24.2,27.23
Madurai,2019,Kharif,Groundnut,2370,26.08,28.54
Madurai,2019,Rabi,Maize,6720,24.2,27.23
Madurai,2019,Kharif,Maize,6020,26.08,28.54
Madurai,2019,Rabi,Onion,7060,24.2,27.23
Madurai,2019,Kharif,Onion,9170,26.08,28.54
Madurai,2019,Rabi,Urad,770,24.2,27.23
Madurai,2019,Kharif,Urad,840,26.08,28.54
Madurai,2019,Rabi,Cotton,1980,24.2,27.23
Madurai,2019,Kharif,Cotton,2400,26.08,28.54
Madurai,2020,Rabi,Groundnut,3230,24.8,26.85
Madurai,2020,Kharif,Groundnut,2950,26.08,27.99
Madurai,2020,Rabi,Maize,5290,24.8,26.85
Madurai,2020,Kharif,Maize,4310,26.08,27.99
Madurai,2020,Rabi,Onion,5550,24.8,26.85
Madurai,2020,Kharif,Onion,12760,26.08,27.99
Madurai,2020,Rabi,Urad,520,24.8,26.85
Madurai,2020,Kharif,Urad,890,26.08,27.99
Madurai,2020,Rabi,Cotton,2290,24.8,26.85
Madurai,2020,Kharif,Cotton,2110,30.52,27.99
Madurai,2021,Rabi,Groundnut,3900,25.4,25.76
Madurai,2021,Kharif,Groundnut,2460,30.52,27.93
Madurai,2021,Rabi,Maize,6070,25.4,25.76
Madurai,2021,Kharif,Maize,5520,30.52,27.93
Madurai,2021,Rabi,Onion,6040,25.4,25.76
Madurai,2021,Kharif,Onion,9110,30.52,27.93
Madurai,2021,Rabi,Urad,630,25.4,25.76
Madurai,2021,Kharif,Urad,880,30.52,27.93
Madurai,2021,Rabi,Cotton,1790,25.4,25.76
Madurai,2021,Kharif,Cotton,1020,27.08,27.93
Madurai,2022,Rabi,Groundnut,3490,27.52,25.93
Madurai,2022,Kharif,Groundnut,2650,27.08,27.05
Madurai,2022,Rabi,Maize,6140,27.52,25.93
Madurai,2022,Kharif,Maize,4500,27.08,27.05
Madurai,2022,Rabi,Onion,7620,27.52,25.93
Madurai,2022,Kharif,Onion,9530,27.08,27.05
Madurai,2022,Rabi,Urad,660,27.52,25.93
Madurai,2022,Kharif,Urad,860,27.08,27.05
Madurai,2022,Rabi,Cotton,2450,27.52,25.93
Madurai,2022,Kharif,Cotton,1990,25.2,27.05
Thirunelveli,2018,Rabi,Groundnut,3480,25.92,25.95
Thirunelveli,2018,Kharif,Groundnut,2170,25.2,26.25
Thirunelveli,2018,Rabi,Maize,8790,25.92,25.95
Thirunelveli,2018,Kharif,Maize,10470,25.2,26.25
Thirunelveli,2018,Rabi,Onion,5680,25.92,25.95
Thirunelveli,2018,Kharif,Onion,13990,25.2,26.25
Thirunelveli,2018,Rabi,Urad,750,25.92,25.95
Thirunelveli,2018,Kharif,Urad,760,25.2,26.25
Thirunelveli,2018,Rabi,Cotton,1560,25.92,25.95
Thirunelveli,2018,Kharif,Cotton,2380,27.12,26.25
Thirunelveli,2019,Rabi,Groundnut,3740,25.72,27.07
Thirunelveli,2019,Kharif,Groundnut,2480,27.12,26.26
Thirunelveli,2019,Rabi,Maize,4550,25.72,27.07
Thirunelveli,2019,Kharif,Maize,8840,27.12,26.26
Thirunelveli,2019,Rabi,Onion,6980,25.72,27.07
Thirunelveli,2019,Kharif,Onion,14280,27.12,26.26
Thirunelveli,2019,Rabi,Urad,710,25.72,27.07
Thirunelveli,2019,Kharif,Urad,840,27.12,26.26
Thirunelveli,2019,Rabi,Cotton,1390,25.72,27.07
Thirunelveli,2019,Kharif,Cotton,2430,26,26.26
Thirunelveli,2020,Rabi,Groundnut,3230,25.52,26.33
Thirunelveli,2020,Kharif,Groundnut,2130,26,26.07
Thirunelveli,2020,Rabi,Maize,5290,25.52,26.33
Thirunelveli,2020,Kharif,Maize,7320,26,26.07
Thirunelveli,2020,Rabi,Onion,6000,25.52,26.33
Thirunelveli,2020,Kharif,Onion,9230,26,26.07
Thirunelveli,2020,Rabi,Urad,860,25.52,26.33
Thirunelveli,2020,Kharif,Urad,890,26,26.07
Thirunelveli,2020,Rabi,Cotton,2420,25.52,26.33
Thirunelveli,2020,Kharif,Cotton,1950,31.12,26.07
Thirunelveli,2021,Rabi,Groundnut,3900,26.32,24.47
Thirunelveli,2021,Kharif,Groundnut,2270,31.12,26.17
Thirunelveli,2021,Rabi,Maize,6070,26.32,24.47
Thirunelveli,2021,Kharif,Maize,8030,31.12,26.17
Thirunelveli,2021,Rabi,Onion,6130,26.32,24.47
Thirunelveli,2021,Kharif,Onion,9090,31.12,26.17
Thirunelveli,2021,Rabi,Urad,700,26.32,24.47
Thirunelveli,2021,Kharif,Urad,880,31.12,26.17
Thirunelveli,2021,Rabi,Cotton,2380,26.32,24.47
Thirunelveli,2021,Kharif,Cotton,1620,26,26.17
Thirunelveli,2022,Rabi,Groundnut,3490,24.92,25.81
Thirunelveli,2022,Kharif,Groundnut,2130,26,26.42
Thirunelveli,2022,Rabi,Maize,6140,24.92,25.81
Thirunelveli,2022,Kharif,Maize,7770,26,26.42
Thirunelveli,2022,Rabi,Onion,7630,24.92,25.81
Thirunelveli,2022,Kharif,Onion,9520,26,26.42
Thirunelveli,2022,Rabi,Urad,600,24.92,25.81
Thirunelveli,2022,Kharif,Urad,860,26,26.42
Thirunelveli,2022,Rabi,Cotton,1790,24.92,25.81
Thirunelveli,2022,Kharif,Cotton,1910,26.24,26.42
Cuddalore,2015,Rabi,Groundnut,2970,30.84,28.4
Cuddalore,2015,Kharif,Groundnut,2410,26.24,27.85
Cuddalore,2015,Rabi,Maize,7390,30.84,28.4
Cuddalore,2015,Kharif,Maize,3370,26.24,27.85
Cuddalore,2015,Rabi,Onion,6840,30.84,28.4
Cuddalore,2015,Kharif,Onion,580,26.24,27.85
Cuddalore,2015,Rabi,Urad,6480,30.84,28.4
Cuddalore,2015,Kharif,Urad,2943,26.24,27.85
Cuddalore,2015,Rabi,Cotton,790,30.84,28.4
Cuddalore,2015,Kharif,Cotton,9630,28.24,27.85
Cuddalore,2016,Rabi,Groundnut,1470,28.2,27.22
Cuddalore,2016,Kharif,Groundnut,2940,28.24,27.49
Cuddalore,2016,Rabi,Maize,8510,28.2,27.22
Cuddalore,2016,Kharif,Maize,1660,28.24,27.49
Cuddalore,2016,Rabi,Onion,1260,28.2,27.22
Cuddalore,2016,Kharif,Onion,590,28.24,27.49
Cuddalore,2016,Rabi,Urad,5000,28.2,27.22
Cuddalore,2016,Kharif,Urad,4080,28.24,27.49
Cuddalore,2016,Rabi,Cotton,500,28.2,27.22
Cuddalore,2016,Kharif,Cotton,10430,32.96,27.49
Cuddalore,2017,Rabi,Groundnut,0,31.56,28.61
Cuddalore,2017,Kharif,Groundnut,3430,32.96,27.03
Cuddalore,2017,Rabi,Maize,7900,31.56,28.61
Cuddalore,2017,Kharif,Maize,6540,32.96,27.03
Cuddalore,2017,Rabi,Onion,6690,31.56,28.61
Cuddalore,2017,Kharif,Onion,890,32.96,27.03
Cuddalore,2017,Rabi,Urad,9320,31.56,28.61
Cuddalore,2017,Kharif,Urad,2360,32.96,27.03
Cuddalore,2017,Rabi,Cotton,860,31.56,28.61
Cuddalore,2017,Kharif,Cotton,9690,34.04,27.03
Cuddalore,2018,Rabi,Groundnut,2600,28.32,28.59
Cuddalore,2018,Kharif,Groundnut,1840,34.04,27.11
Cuddalore,2018,Rabi,Maize,6840,28.32,28.59
Cuddalore,2018,Kharif,Maize,5400,34.04,27.11
Cuddalore,2018,Rabi,Onion,7000,28.32,28.59
Cuddalore,2018,Kharif,Onion,730,34.04,27.11
Cuddalore,2018,Rabi,Urad,5830,28.32,28.59
Cuddalore,2018,Kharif,Urad,3284,34.04,27.11
Cuddalore,2018,Rabi,Cotton,600,28.32,28.59
Cuddalore,2018,Kharif,Cotton,8800,27.16,27.11
Cuddalore,2019,Rabi,Groundnut,2520,32.44,27.6
Cuddalore,2019,Kharif,Groundnut,4060,27.16,28.98
Cuddalore,2019,Rabi,Maize,5420,32.44,27.6
Cuddalore,2019,Kharif,Maize,8100,27.16,28.98
Cuddalore,2019,Rabi,Onion,6720,32.44,27.6
Cuddalore,2019,Kharif,Onion,840,27.16,28.98
Cuddalore,2019,Rabi,Urad,7500,32.44,27.6
Cuddalore,2019,Kharif,Urad,405,27.16,28.98
Cuddalore,2019,Rabi,Cotton,800,32.44,27.6
Cuddalore,2019,Kharif,Cotton,9220,26.88,28.98
Cuddalore,2020,Rabi,Groundnut,2420,33.36,28.64
Cuddalore,2020,Kharif,Groundnut,3650,26.88,28.38
Cuddalore,2020,Rabi,Maize,6000,33.36,28.64
Cuddalore,2020,Kharif,Maize,4450,26.88,28.38
Cuddalore,2020,Rabi,Onion,5290,33.36,28.64
Cuddalore,2020,Kharif,Onion,890,26.88,28.38
Cuddalore,2020,Rabi,Urad,5640,33.36,28.64
Cuddalore,2020,Kharif,Urad,4076,26.88,28.38
Cuddalore,2020,Rabi,Cotton,430,33.36,28.64
Cuddalore,2020,Kharif,Cotton,9890,31.84,28.38
Cuddalore,2021,Rabi,Groundnut,2390,29.88,28.18
Cuddalore,2021,Kharif,Groundnut,3600,31.84,26.79
Cuddalore,2021,Rabi,Maize,6790,29.88,28.18
Cuddalore,2021,Kharif,Maize,6500,31.84,26.79
Cuddalore,2021,Rabi,Onion,6090,29.88,28.18
Cuddalore,2021,Kharif,Onion,880,31.84,26.79
Cuddalore,2021,Rabi,Urad,6000,29.88,28.18
Cuddalore,2021,Kharif,Urad,1376,31.84,26.79
Cuddalore,2021,Rabi,Cotton,640,29.88,28.18
Cuddalore,2021,Kharif,Cotton,9140,27.28,26.79
Cuddalore,2022,Rabi,Groundnut,1790,28.24,26.04
Cuddalore,2022,Kharif,Groundnut,3650,27.28,27.34
Cuddalore,2022,Rabi,Maize,6330,28.24,26.04
Cuddalore,2022,Kharif,Maize,5880,27.28,27.34
Cuddalore,2022,Rabi,Onion,6120,28.24,26.04
Cuddalore,2022,Kharif,Onion,860,27.28,27.34
Cuddalore,2022,Rabi,Urad,7670,28.24,26.04
Cuddalore,2022,Kharif,Urad,2883,27.28,27.34
Cuddalore,2022,Rabi,Cotton,630,28.24,26.04
Cuddalore,2022,Kharif,Cotton,9540,17.2,27.34
Dharmapuri,2015,Rabi,Groundnut,2960,21.2,26.85
Dharmapuri,2015,Kharif,Groundnut,2790,17.2,25.52
Dharmapuri,2015,Rabi,Maize,2680,21.2,26.85
Dharmapuri,2015,Kharif,Maize,5950,17.2,25.52
Dharmapuri,2015,Rabi,Onion,6840,21.2,26.85
Dharmapuri,2015,Kharif,Onion,630,17.2,25.52
Dharmapuri,2015,Rabi,Urad,6500,21.2,26.85
Dharmapuri,2015,Kharif,Urad,1792,17.2,25.52
Dharmapuri,2015,Rabi,Cotton,700,21.2,26.85
Dharmapuri,2015,Kharif,Cotton,9640,18.4,25.52
Dharmapuri,2016,Rabi,Groundnut,1470,16.4,26.73
Dharmapuri,2016,Kharif,Groundnut,1350,18.4,25.01
Dharmapuri,2016,Rabi,Maize,1890,16.4,26.73
Dharmapuri,2016,Kharif,Maize,4230,18.4,25.01
Dharmapuri,2016,Rabi,Onion,1250,16.4,26.73
Dharmapuri,2016,Kharif,Onion,450,18.4,25.01
Dharmapuri,2016,Rabi,Urad,5020,16.4,26.73
Dharmapuri,2016,Kharif,Urad,3638,18.4,25.01
Dharmapuri,2016,Rabi,Cotton,370,16.4,26.73
Dharmapuri,2016,Kharif,Cotton,10380,22.8,25.01
Dharmapuri,2017,Rabi,Groundnut,0,22.4,25.55
Dharmapuri,2017,Kharif,Groundnut,2440,22.8,26.71
Dharmapuri,2017,Rabi,Maize,4560,22.4,25.55
Dharmapuri,2017,Kharif,Maize,8370,22.8,26.71
Dharmapuri,2017,Rabi,Onion,6690,22.4,25.55
Dharmapuri,2017,Kharif,Onion,930,22.8,26.71
Dharmapuri,2017,Rabi,Urad,9310,22.4,25.55
Dharmapuri,2017,Kharif,Urad,17703,22.8,26.71
Dharmapuri,2017,Rabi,Cotton,680,22.4,25.55
Dharmapuri,2017,Kharif,Cotton,11650,18,26.71
Dharmapuri,2018,Rabi,Groundnut,2590,17.6,26.9
Dharmapuri,2018,Kharif,Groundnut,1900,18,26.46
Dharmapuri,2018,Rabi,Maize,2870,17.6,26.9
Dharmapuri,2018,Kharif,Maize,5400,18,26.46
Dharmapuri,2018,Rabi,Onion,6160,17.6,26.9
Dharmapuri,2018,Kharif,Onion,730,18,26.46
Dharmapuri,2018,Rabi,Urad,5720,17.6,26.9
Dharmapuri,2018,Kharif,Urad,3455,18,26.46
Dharmapuri,2018,Rabi,Cotton,610,17.6,26.9
Dharmapuri,2018,Kharif,Cotton,8770,19.6,26.46
Dharmapuri,2019,Rabi,Groundnut,2520,22.8,26.59
Dharmapuri,2019,Kharif,Groundnut,4220,19.6,25.83
Dharmapuri,2019,Rabi,Maize,3890,22.8,26.59
Dharmapuri,2019,Kharif,Maize,7430,19.6,25.83
Dharmapuri,2019,Rabi,Onion,6720,22.8,26.59
Dharmapuri,2019,Kharif,Onion,1030,19.6,25.83
Dharmapuri,2019,Rabi,Urad,7070,22.8,26.59
Dharmapuri,2019,Kharif,Urad,19477,19.6,25.83
Dharmapuri,2019,Rabi,Cotton,780,22.8,26.59
Dharmapuri,2019,Kharif,Cotton,9170,18.8,25.83
Dharmapuri,2020,Rabi,Groundnut,2430,19.6,26.07
Dharmapuri,2020,Kharif,Groundnut,1910,18.8,25.38
Dharmapuri,2020,Rabi,Maize,3090,19.6,26.07
Dharmapuri,2020,Kharif,Maize,7240,18.8,25.38
Dharmapuri,2020,Rabi,Onion,5290,19.6,26.07
Dharmapuri,2020,Kharif,Onion,1010,18.8,25.38
Dharmapuri,2020,Rabi,Urad,5560,19.6,26.07
Dharmapuri,2020,Kharif,Urad,4896,18.8,25.38
Dharmapuri,2020,Rabi,Cotton,520,19.6,26.07
Dharmapuri,2020,Kharif,Cotton,13440,22.8,25.38
Dharmapuri,2021,Rabi,Groundnut,2390,22.8,25.81
Dharmapuri,2021,Kharif,Groundnut,3900,22.8,25.19
Dharmapuri,2021,Rabi,Maize,3920,22.8,25.81
Dharmapuri,2021,Kharif,Maize,7240,22.8,25.19
Dharmapuri,2021,Rabi,Onion,6070,22.8,25.81
Dharmapuri,2021,Kharif,Onion,970,22.8,25.19
Dharmapuri,2021,Rabi,Urad,6030,22.8,25.81
Dharmapuri,2021,Kharif,Urad,14681,22.8,25.19
Dharmapuri,2021,Rabi,Cotton,630,22.8,25.81
Dharmapuri,2021,Kharif,Cotton,9130,22.8,25.19
Dharmapuri,2022,Rabi,Groundnut,1790,23.2,26.68
Dharmapuri,2022,Kharif,Groundnut,2750,22.8,25.57
Dharmapuri,2022,Rabi,Maize,4010,23.2,26.68
Dharmapuri,2022,Kharif,Maize,5970,22.8,25.57
Dharmapuri,2022,Rabi,Onion,6140,23.2,26.68
Dharmapuri,2022,Kharif,Onion,810,22.8,25.57
Dharmapuri,2022,Rabi,Urad,7620,23.2,26.68
Dharmapuri,2022,Kharif,Urad,4120,22.8,25.57
Dharmapuri,2022,Rabi,Cotton,650,23.2,26.68
Dharmapuri,2022,Kharif,Cotton,7990,27.36,25.57
Dindigul,2015,Rabi,Groundnut,3280,30.88,26.57
Dindigul,2015,Kharif,Groundnut,2060,27.36,28.54
Dindigul,2015,Rabi,Maize,3020,30.88,26.57
Dindigul,2015,Kharif,Maize,9860,27.36,28.54
Dindigul,2015,Rabi,Onion,9470,30.88,26.57
Dindigul,2015,Kharif,Onion,690,27.36,28.54
Dindigul,2015,Rabi,Urad,11270,30.88,26.57
Dindigul,2015,Kharif,Urad,16700,27.36,28.54
Dindigul,2015,Rabi,Cotton,720,30.88,26.57
Dindigul,2015,Kharif,Cotton,8490,33.92,28.54
Dindigul,2016,Rabi,Groundnut,1030,30.2,28.41
Dindigul,2016,Kharif,Groundnut,2690,33.92,28.47
Dindigul,2016,Rabi,Maize,1600,30.2,28.41
Dindigul,2016,Kharif,Maize,5500,33.92,28.47
Dindigul,2016,Rabi,Onion,1250,30.2,28.41
Dindigul,2016,Kharif,Onion,770,33.92,28.47
Dindigul,2016,Rabi,Urad,4280,30.2,28.41
Dindigul,2016,Kharif,Urad,4947,33.92,28.47
Dindigul,2016,Rabi,Cotton,360,30.2,28.41
Dindigul,2016,Kharif,Cotton,7890,28.64,28.47
Dindigul,2017,Rabi,Groundnut,0,28.12,27.82
Dindigul,2017,Kharif,Groundnut,2820,28.64,27.43
Dindigul,2017,Rabi,Maize,2880,28.12,27.82
Dindigul,2017,Kharif,Maize,9220,28.64,27.43
Dindigul,2017,Rabi,Onion,8810,28.12,27.82
Dindigul,2017,Kharif,Onion,910,28.64,27.43
Dindigul,2017,Rabi,Urad,9640,28.12,27.82
Dindigul,2017,Kharif,Urad,17027,28.64,27.43
Dindigul,2017,Rabi,Cotton,730,28.12,27.82
Dindigul,2017,Kharif,Cotton,11940,34.64,27.43
Dindigul,2018,Rabi,Groundnut,3230,31.08,26.95
Dindigul,2018,Kharif,Groundnut,2550,34.64,28.25
Dindigul,2018,Rabi,Maize,2640,31.08,26.95
Dindigul,2018,Kharif,Maize,7320,34.64,28.25
Dindigul,2018,Rabi,Onion,7000,31.08,26.95
Dindigul,2018,Kharif,Onion,760,34.64,28.25
Dindigul,2018,Rabi,Urad,4870,31.08,26.95
Dindigul,2018,Kharif,Urad,4109,34.64,28.25
Dindigul,2018,Rabi,Cotton,690,31.08,26.95
Dindigul,2018,Kharif,Cotton,8100,26.48,28.25
Dindigul,2019,Rabi,Groundnut,3450,26.04,27.84
Dindigul,2019,Kharif,Groundnut,3070,26.48,27.26
Dindigul,2019,Rabi,Maize,2640,26.04,27.84
Dindigul,2019,Kharif,Maize,8930,26.48,27.26
Dindigul,2019,Rabi,Onion,6950,26.04,27.84
Dindigul,2019,Kharif,Onion,840,26.48,27.26
Dindigul,2019,Rabi,Urad,4180,26.04,27.84
Dindigul,2019,Kharif,Urad,11552,26.48,27.26
Dindigul,2019,Rabi,Cotton,810,26.04,27.84
Dindigul,2019,Kharif,Cotton,4840,33.52,27.26
